company_id,investment_age,funding_round_code,funding_amount_mil,IPO,a,acquired,angel,b,c,d,e,f,merged,neeq,post-IPO,delisted,seed,stg_invse,num_investor
c:8688,22.0,b,65.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:8688,10.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8682,70.0,acquired,10.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:8682,1.0,angel,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8671,47.0,b,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:8668,112.0,acquired,512.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8647,48.0,acquired,42.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8647,48.0,d,542.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
c:8647,28.0,c,200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
c:8647,17.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:8647,8.0,a,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:71782,153.0,acquired,960.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:71782,96.0,a,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:8641,132.0,acquired,720.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8620,63.0,acquired,850.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8619,111.0,acquired,950.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8619,101.0,b,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
c:8619,80.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:8619,0.0,angel,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8608,107.0,acquired,347.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8587,132.0,acquired,330.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8587,74.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
c:8587,35.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8585,18.0,acquired,850.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:8585,11.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
